lfp_uid,epoch,n_trials,n_samples_per_epoch
monkeyT_session-y070130005-13_lfp-1,movement,253,1000
monkeyT_session-y070130005-13_lfp-2,movement,253,1000
monkeyT_session-y070201001-6_lfp-1,movement,187,1000
monkeyT_session-y070201009-11_lfp-1,movement,107,1000
monkeyT_session-y070201009-11_lfp-2,movement,107,1000
monkeyT_session-y070202001-7_lfp-1,movement,258,1000
monkeyT_session-y070202009-16_lfp-1,movement,140,1000
monkeyT_session-y070202017-23_lfp-1,movement,87,1000
monkeyT_session-y070206006-12_lfp-1,movement,316,1000
monkeyT_session-y070207001-3_lfp-1,movement,113,1000
monkeyT_session-y070207001-3_lfp-2,movement,113,1000
monkeyT_session-y070207004-11_lfp-1,movement,329,1000
monkeyT_session-y070207004-11_lfp-2,movement,329,1000
monkeyT_session-y070207012-19_lfp-1,movement,264,1000
monkeyT_session-y070207012-19_lfp-2,movement,264,1000
monkeyT_session-y070208003-8_lfp-1,movement,283,1000
monkeyT_session-y070208003-8_lfp-2,movement,283,1000
monkeyT_session-y070209004-10_lfp-1,movement,312,1000
monkeyT_session-y070209004-10_lfp-2,movement,312,1000
monkeyT_session-y070213003-8_lfp-1,movement,298,1000
monkeyT_session-y070214006-11_lfp-2,movement,265,1000
monkeyT_session-y070214012-17_lfp-2,movement,258,1000
monkeyT_session-y070214018-19_lfp-1,movement,90,1000
monkeyT_session-y070214018-19_lfp-2,movement,90,1000
monkeyT_session-y070214020-23_lfp-1,movement,110,1000
monkeyT_session-y070214020-23_lfp-2,movement,111,1000
monkeyT_session-y070215001-4_lfp-1,movement,161,1000
monkeyT_session-y070215001-4_lfp-2,movement,151,1000
monkeyT_session-y070215005-10_lfp-1,movement,264,1000
monkeyT_session-y070215005-10_lfp-2,movement,264,1000
monkeyT_session-y070215011-16_lfp-1,movement,234,1000
monkeyT_session-y070215011-16_lfp-2,movement,234,1000
monkeyT_session-y070215017-21_lfp-2,movement,182,1000
monkeyT_session-y070215017-21_lfp-4,movement,113,1000
monkeyT_session-y070228001-5_lfp-8,movement,216,1000
