resample_index,peak_power,peak_frequency,power_frequency,all_bands,geometry
226,0.16845322830042694,0.16617785008618355,0.17755549691592173,0.23956975109697395,0.19721959492986607
227,0.1507977207977208,0.18613709761084837,0.22343177655677657,0.23450965846989047,0.21726494049974954
228,0.15858823768695132,0.19514708187268923,0.17151511148589668,0.21908519866906137,0.2079227126766201
229,0.18697165212625763,0.1569597021527205,0.1656750871867151,0.33754389826236003,0.22902615315824779
230,0.18027646095061822,0.18364990961215502,0.18485487451031093,0.21546824808500123,0.2407695116908939
231,0.18920434800833472,0.1676041429330903,0.17470114739393858,0.18410689805664085,0.21858136402263592
232,0.16500494688634101,0.20129678627557349,0.1850848684857792,0.24581128321924253,0.22406219872781105
233,0.17494612556493747,0.1793692693129737,0.22096739366090748,0.24416362025036006,0.22161928295908528
234,0.1887041873361983,0.14833245021924266,0.2156227656227656,0.24956350639449232,0.2307974345278899
235,0.1460200039780785,0.1850140799601716,0.1787494496002943,0.24707190782457786,0.20363045148671932
236,0.1946771172237011,0.16453368186550918,0.23142845854609637,0.23405951960662208,0.19434640077136744
237,0.15438586833050286,0.18842690118545116,0.12590769197161125,0.22329068619452574,0.22257696007696007
238,0.12404402510673818,0.16017196024490324,0.17548604193394038,0.22000992872316405,0.17229816957363406
239,0.19411264194285047,0.19505992473505399,0.21078149433412594,0.24925953521379748,0.25367642021990755
240,0.17893338869193998,0.1821846157531256,0.19700318999079294,0.2784626827246195,0.2977561955161843
241,0.1515666109949457,0.18701032305316914,0.19631063604315324,0.20937183366609272,0.22651395633140056
242,0.19064131341909119,0.18825435976598767,0.24141622517886763,0.26232093499895354,0.22323936528893004
243,0.15913749219201562,0.18343056385137038,0.17420007160515427,0.22959904732064293,0.23083624130899008
244,0.18335505409270034,0.1468193807884792,0.1948877680584998,0.24355414419043084,0.25418284747751946
245,0.20761444674488153,0.16376265289308767,0.18087864153517344,0.18407150025137367,0.23379722329220365
246,0.19083913177788484,0.17094147118877653,0.1572116902228863,0.19338441158377093,0.20058216637164006
247,0.13548775822068015,0.15846279265848087,0.15533089020320906,0.19754833336922892,0.22089454370296993
248,0.17410522801438663,0.13402131936578351,0.1558600337038246,0.227450591736306,0.21189930680902444
249,0.15224166238720516,0.1748617756512493,0.20062804360972997,0.22652920677755087,0.22819115750150235
250,0.14273728284525625,0.15482323232323233,0.14024055584971598,0.2294622143153818,0.19810764798403546
251,0.14335163278349647,0.17538853305436533,0.16222440178524947,0.22952820386104303,0.22576177013566814
252,0.14750044960310854,0.17816142772595997,0.18880925566318826,0.20924920060417376,0.2061363488792517
253,0.14154109674786367,0.20231758877517084,0.2232019238362212,0.2155220333926975,0.18845097416525988
254,0.13281190307063814,0.1999066831714558,0.17151818156109291,0.2424963269043184,0.1883705161404412
255,0.14404888518363693,0.15089279177578793,0.20714125931517238,0.2411303108469894,0.20203262150810816
256,0.15157404347253972,0.17074802174497083,0.18260510041381353,0.20200065119496066,0.20905603621681568
257,0.1392756131246029,0.1656183074193827,0.20756265523374776,0.2263595290421565,0.23226199617062226
258,0.16335746735152992,0.19722243695457978,0.19047673947734498,0.2167884545122397,0.21488421020535728
259,0.14919575304230415,0.14109887800451398,0.19498136336313868,0.18865431485944606,0.26118330316637023
