row_index,original_trial_number,direction,homology_dimension,interval,birth,death,lifetime
39,10,2,0,74,0.0,0.0704757496714592,0.0704757496714592
39,10,2,0,75,0.0,0.0705093890428543,0.0705093890428543
39,10,2,0,76,0.0,0.0706827491521835,0.0706827491521835
39,10,2,0,77,0.0,0.0710301548242569,0.0710301548242569
39,10,2,0,78,0.0,0.0716032460331916,0.0716032460331916
39,10,2,0,79,0.0,0.071832962334156,0.071832962334156
39,10,2,0,80,0.0,0.0725691169500351,0.0725691169500351
39,10,2,0,81,0.0,0.0726787075400352,0.0726787075400352
39,10,2,0,82,0.0,0.0735584646463394,0.0735584646463394
39,10,2,0,83,0.0,0.0738054737448692,0.0738054737448692
39,10,2,0,84,0.0,0.0740474089980125,0.0740474089980125
39,10,2,0,85,0.0,0.0742480158805847,0.0742480158805847
39,10,2,0,86,0.0,0.0743271857500076,0.0743271857500076
39,10,2,0,87,0.0,0.0747982189059257,0.0747982189059257
39,10,2,0,88,0.0,0.0751350671052932,0.0751350671052932
39,10,2,0,89,0.0,0.0756241753697395,0.0756241753697395
39,10,2,0,90,0.0,0.0757104605436325,0.0757104605436325
39,10,2,0,91,0.0,0.0767914876341819,0.0767914876341819
39,10,2,0,92,0.0,0.0767929106950759,0.0767929106950759
39,10,2,0,93,0.0,0.0768481343984603,0.0768481343984603
39,10,2,0,94,0.0,0.0768872126936912,0.0768872126936912
39,10,2,0,95,0.0,0.0774800851941108,0.0774800851941108
39,10,2,0,96,0.0,0.0779267325997352,0.0779267325997352
39,10,2,0,97,0.0,0.0780087485909462,0.0780087485909462
39,10,2,0,98,0.0,0.0786603242158889,0.0786603242158889
39,10,2,0,99,0.0,0.079206995666027,0.079206995666027
39,10,2,0,100,0.0,0.0795187428593635,0.0795187428593635
39,10,2,0,101,0.0,0.0802454948425293,0.0802454948425293
39,10,2,0,102,0.0,0.0805873349308967,0.0805873349308967
39,10,2,0,103,0.0,0.0806719362735748,0.0806719362735748
39,10,2,0,104,0.0,0.0807596370577812,0.0807596370577812
39,10,2,0,105,0.0,0.0815981402993202,0.0815981402993202
39,10,2,0,106,0.0,0.0816768035292625,0.0816768035292625
39,10,2,0,107,0.0,0.0817117691040039,0.0817117691040039
39,10,2,0,108,0.0,0.0817165598273277,0.0817165598273277
39,10,2,0,109,0.0,0.0817523747682571,0.0817523747682571
39,10,2,0,110,0.0,0.0817870125174522,0.0817870125174522
39,10,2,0,111,0.0,0.0823215395212173,0.0823215395212173
39,10,2,0,112,0.0,0.0826607123017311,0.0826607123017311
39,10,2,0,113,0.0,0.0831402912735939,0.0831402912735939
39,10,2,0,114,0.0,0.084110639989376,0.084110639989376
39,10,2,0,115,0.0,0.0849866271018982,0.0849866271018982
39,10,2,0,116,0.0,0.0850508511066436,0.0850508511066436
39,10,2,0,117,0.0,0.0851568877696991,0.0851568877696991
39,10,2,0,118,0.0,0.0851661339402198,0.0851661339402198
39,10,2,0,119,0.0,0.0854835137724876,0.0854835137724876
39,10,2,0,120,0.0,0.0856417194008827,0.0856417194008827
39,10,2,0,121,0.0,0.0858289897441864,0.0858289897441864
39,10,2,0,122,0.0,0.0860837325453758,0.0860837325453758
39,10,2,0,123,0.0,0.0861251279711723,0.0861251279711723
