row_index,raw_trial_index,original_trial_number,direction,heldout_fold_zero_based,delay,12_40Hz_log10_peak_psd,12_40Hz_peak_frequency_hz,delta_2_4Hz_log10_integrated_power,theta_4_8Hz_log10_integrated_power,alpha_8_13Hz_log10_integrated_power,beta_13_30Hz_log10_integrated_power,low_gamma_30_55Hz_log10_integrated_power
40,53,530,2,1,short,4.845736262136405,27.900000000000002,3.9944608618287094,4.320894702273704,4.0577562298823935,5.777358988710652,5.463615071703539
41,63,254,2,4,short,5.069577406530845,21.700000000000003,4.155949414804975,4.983883680440061,4.486358666956929,5.995354206329958,5.787989411403623
42,66,419,2,3,short,5.02773345185421,24.200000000000003,4.807839727323155,5.302048858681945,4.811091765543471,5.720390907923193,5.254001524170511
43,48,401,2,3,short,4.8034319883356,23.6,4.545801982867286,4.824883200474479,4.609024328134009,5.531142253182478,5.1905880211291295
44,36,543,2,0,short,5.204539747881026,21.0,4.70030610532866,4.595531096752242,4.5972191553826836,6.006944339592068,5.362118195495089
45,42,34,2,0,short,5.218672419089689,20.700000000000003,3.3745110912558447,4.178677833302591,4.0114256269617785,6.06718620890175,5.333584616620511
46,46,193,2,0,short,5.261608874349939,23.0,4.472687927572694,4.445223652539547,4.0318047779309865,6.05419507209687,5.243862404250171
47,62,220,2,3,short,4.604724858975553,21.400000000000002,4.4891924145156406,4.365623222041768,3.9396986475170004,5.464393012728261,5.326429349597117
48,57,281,2,2,short,4.624254133324167,25.400000000000002,3.8569355874522473,4.455850263795411,4.17474748229472,5.607217953549006,5.465053077583099
49,35,622,2,2,short,4.848558125655789,23.6,4.864399974810208,4.249373816969518,3.713020328746818,5.807854285052637,5.465750649604957
50,55,150,2,3,short,5.101377729365492,22.400000000000002,4.76428496168531,4.589626881756648,4.998973181736157,6.037708020016579,5.577427920742512
51,47,197,2,4,short,4.375642798827175,30.6,4.331945485648854,4.610813340158004,4.236398802394696,5.151880801476422,5.368969950182998
52,65,131,2,0,short,4.877399130500514,23.6,4.5241930604897105,4.160843681545986,4.651453048806187,5.615383065841626,5.177190873043322
53,49,670,2,2,short,5.033345906697509,27.700000000000003,4.657651796581403,4.364906297384513,4.1430784611779465,5.791366013267605,5.3788932553053375
54,43,260,2,4,short,5.048951915168866,21.6,4.242704648197753,4.675412046593281,5.072004125003914,5.763591581626933,5.404469493601958
55,40,117,2,0,short,4.912340853325909,22.3,3.9405584448482673,4.133085744778785,4.679285468702799,5.759188540592085,5.269201895992139
56,38,521,2,1,short,5.005026400989121,20.5,4.4693489406952285,4.37740398884161,4.934394868495202,6.007923748757117,5.509076167278147
57,59,98,2,2,short,4.868853861459007,21.200000000000003,4.769062488761049,4.369200401058869,4.838789428460754,5.818713556989014,5.258430506080798
58,60,647,2,3,short,4.766507049648137,23.900000000000002,4.160488239128273,4.728793861834307,4.691505847873965,5.48862858117872,5.23637351556532
59,50,10,2,1,short,4.5078522510989165,21.900000000000002,4.327156018035506,3.9981500596682444,3.6931063878609347,5.378734570506443,5.335610947617748
60,44,428,2,4,short,5.405368471827379,22.900000000000002,4.223878794581109,4.655991583750614,4.83437297814411,6.150984422466439,5.515103892085205
61,39,198,2,1,short,4.49546207306035,23.200000000000003,4.133176786287651,3.789358054951397,4.869054286330802,5.346141341440811,5.390430807117066
62,61,387,2,2,short,5.121885748108088,21.900000000000002,4.877600518588608,4.771192020409793,4.142333872842516,5.948052644181843,5.457796898211286
63,54,628,2,1,short,4.862676735974517,23.6,4.146523376357982,4.251110755771251,3.6886828117393593,5.66368046257618,5.388374709721375
64,45,158,2,2,short,5.026837627560148,23.400000000000002,3.5354074743674313,4.60426826714928,4.313262712712535,5.878950872238171,5.437980861234268
65,64,589,2,3,short,5.139147493011525,22.0,4.452676027264821,4.073320641303166,4.119007411497872,6.129032613905839,5.425064043450772
66,84,636,3,2,short,5.087663739986728,20.8,4.391964603590108,4.307013580061975,4.77910856554364,5.975217783177789,5.210322407124666
67,90,494,3,1,short,5.09225679756702,20.700000000000003,3.700435025475902,4.5092753160230234,4.611302884423107,6.109070623048976,5.385358832892046
68,83,503,3,0,short,5.086526044024374,19.900000000000002,3.5742271990414687,3.8864297189162187,4.387468430480713,6.023071335381751,5.56731960025984
69,78,572,3,4,short,5.027697900037999,21.200000000000003,4.182567755368,4.52380314738833,4.880309368363396,5.867146541980585,5.2283049989921535
70,98,669,3,2,short,4.8176372208112275,19.8,3.0708581075122416,3.847618466791835,4.841076415001003,5.748291644306226,4.947908200055119
71,88,137,3,4,short,5.010655309908813,19.5,4.954338580685,4.889295686413077,4.599728267034721,5.903986601573367,5.10138859159451
72,95,323,3,0,short,4.891018408622194,21.700000000000003,4.901774420542564,4.777197729914175,4.727134818175396,5.909970654147619,5.2981392787628785
73,70,144,3,1,short,5.323127631030928,21.900000000000002,5.306366036437716,5.038719251605116,5.318457128430238,6.177950196418852,5.427216626478029
74,74,200,3,3,short,4.8982508687209885,22.1,3.671765714475657,3.8290693968199383,3.804158742068845,5.868919359050357,5.0334065200035525
75,81,432,3,1,short,4.311031087322215,18.0,4.490194885517049,3.9070275929860547,3.628682633245798,5.076631376496913,5.4119657345382715
76,96,43,3,3,short,5.175458973950846,26.400000000000002,4.870371587221861,5.163647542803016,5.360550914450036,6.1067224987818305,5.62305344275093
77,80,177,3,0,short,5.2697963945133095,20.700000000000003,3.8269149828505706,4.569504857682884,5.0249200462572885,6.181424080041301,5.334955502431225
78,71,309,3,4,short,5.120408664012622,21.900000000000002,4.460835922725363,4.70292232328481,4.780011949806234,6.071185674252742,5.408213228810588
79,97,319,3,4,short,4.816147205094065,24.5,4.392832578309031,4.8121199526741325,4.9894628721672385,5.805311350375389,5.169105028192944
80,87,663,3,2,short,4.517644914324296,28.400000000000002,4.284397126527621,4.483616853163601,4.307220394523123,5.448044725979242,5.143513332050297
81,86,147,3,4,short,5.024311466660096,22.200000000000003,4.355234596160528,5.006096448556397,4.553739776698739,5.985441846772848,5.541654346856485
82,100,477,3,1,short,5.286045474087868,20.700000000000003,5.042351302468543,5.587680543353709,5.693703789951012,6.201481072833287,5.545693629118338
